reporting_year,East Asia & Pacific,Europe & Central Asia,Latin America & Caribbean,Middle East & North Africa,Other High Income Countries,South Asia,Sub-Saharan Africa
1981,82.50679295777155,,15.43415391693021,,0.60476620381848,58.94405569191588,
1982,80.69883173653722,,16.10136691862388,,0.6122706680635199,57.81457200568829,
1983,78.24245640289243,,18.85589220536449,,0.5362515286538799,55.96570619716164,
1984,74.00171222990862,,18.53676275227324,,0.51120874642595,54.79811736644653,
1985,70.45711638420919,,17.08906722261981,7.03640735311018,0.51046885130218,53.56435673679314,
1986,67.69616658779417,,12.2975894645973,7.174481153330089,0.49950784384097,52.52096853474112,
1987,64.02114949746147,,14.94878166275955,7.4902695213410295,0.46875298877429,52.05784841452503,
1988,58.69258406266539,,15.634354390241539,7.0777280272364,0.43680781324595,50.80114720997422,
1989,66.93386849779039,,15.10265142220909,6.95866744831177,0.43706619451459006,50.40426557478822,
1990,65.35663525735428,3.7863267435572396,16.3412796512922,6.27891495906889,0.42630223445853005,49.99014961437597,54.74040697328023
1991,63.50377719339981,4.32555251999091,15.81668607227464,6.13953741221305,0.44946985399284,48.51009210869205,56.160847389523305
1992,60.73879083064758,5.61868298871852,15.693927064032259,5.44883977449239,0.49937354114777,46.78323758653867,57.145016359846224
1993,57.879589482562366,6.39653163119871,15.57948585394431,5.24610917975582,0.56134439022002,46.19488988638018,58.23230067318435
1994,53.06908369274295,7.963161496745711,14.36896852350657,4.86199579922654,0.52366544621691,44.58258534681164,58.538963491692165
1995,49.44236150833482,8.047038467142679,13.996413686196341,4.921665824781281,0.51693433043528,43.757954611814796,58.08487905424198
1996,44.97347918644931,8.243060451688521,15.25213036333264,4.3080405939848205,0.5604421802697,42.236562918658585,57.43650883081251
1997,44.57240554800883,7.6701747192283705,15.06491470624018,4.16001030052704,0.54980849420476,,56.976089000967235
1998,45.5132175710782,7.8088802928990395,14.836367784685109,3.80796496008231,0.553173173032,,56.75645617557355
1999,42.22928657448506,9.97863138872339,15.074825223790949,3.69443278834131,0.5207541539513699,,56.39626692889886
2000,39.45240077810559,9.20012116522486,13.806104589118789,3.40106256349597,0.48982273232879,,55.99788716203706
2001,36.684879749218254,8.32394937508546,13.52425261563231,3.34695510931648,0.50382368369062,,55.02488271204682
2002,32.683805974779176,7.40796130039673,12.64019320402313,,0.5171029215169299,40.37355194297199,54.375791805385006
2003,28.7463339707196,7.25655332401043,12.27009957950832,3.06342045581138,0.5682190661084,38.93438173896238,53.21159228344386
2004,25.104341071256332,5.5381088587625795,11.310642454926171,2.80075114904877,0.54125947909571,37.17064860908896,50.416654745822306
2005,21.15397324370251,4.73197759369065,10.74009575576059,2.73966629795664,0.53801363263472,35.51572922949921,48.70239705242475
2006,20.52960715411054,3.30145471716077,8.867937070648289,2.66515165247526,0.5125799378927199,33.80808151518724,47.15914387606473
2007,18.43317905935914,2.16674139268331,7.73761575142899,2.67390167843716,0.49825835395567997,32.09656257535195,46.023014279120076
2008,17.41533422333916,1.3906823607408298,7.0301177605811604,2.6016438894734097,0.50866596669454,30.9440412677291,44.4722701645985
2009,15.25853801581942,1.21299844605722,6.697904213613071,2.34002175905159,0.52174586396212,29.53194039388034,43.90741979264397
2010,13.201719149160779,1.1587277199072499,5.91811798474445,2.02218965833687,0.51734608569363,25.40067193801358,42.12050047082877
2011,10.31584657280163,0.90832774018138,5.462430121372281,2.15664192857629,0.55629838266884,21.56807777533586,40.97723745556718
2012,8.79735961283515,0.86924027389901,5.11539010382501,2.27663983350795,0.5832203515336299,19.86441834139034,39.76712350771478
2013,4.50465313055473,0.7007667710927901,4.56984676561652,2.54704457236024,0.6394707634128,18.94527720701562,38.86849073196082
2014,3.59943281108438,1.01172010150997,4.30624311114824,2.79664941189159,0.68044232178915,17.85224941608585,38.10142436699134
2015,2.73397818436692,0.84508433729825,4.05800274355808,3.69961088121735,0.73849411839233,16.59319839487497,38.19984654735763
2016,2.2805348846910203,0.66614398497133,4.27266865532596,4.47789499380907,0.63503454946981,15.777757326089558,37.98244867890564
2017,1.9515965460829399,0.7207940718063,4.28334416209899,4.68538853102023,0.69869904955317,12.60136125173949,37.45377794078517
2018,1.57470804831684,0.43764691873023004,4.21730370961162,4.73181353127886,0.6203823460010299,10.10624505313025,36.87466199720476
2019,1.20919600116902,0.45788077834809,4.21297952622764,,0.59542543718413,10.62586406171858,36.65936168966633
2020,1.25860944437805,0.5234205220181,3.83329721404125,,0.35821235731677,13.019447349755739,
2021,1.23058542608059,0.48261624234687006,4.52803729261935,,0.31544591422183,11.47687049965699,
2022,1.04969201563415,0.45717820822968,3.45269537062627,,0.31340842462803997,9.739690878752361,
